"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Chamberlain College of Nursing-Indiana","9100 Keystone Crossing, Suite 600, Indianapolis, Indiana 46240-2158","www.chamberlain.edu","4-year, Private for-profit","Bachelor's degree","City: Large","No","124","124","NA","NA","Fall 2007","$23,614","-","475741","00638510"
"Chamberlain College of Nursing-Missouri","11830 Westline Industrial Dr., Ste. 106, St. Louis, Missouri 63146-0000","www.chamberlain.edu","4-year, Private for-profit","Bachelor's degree","Suburb: Large","No","540","540","33%","NA","Fall 2007","$21,434","-","466921","00638507"
"Chamberlain College of Nursing-Ohio","1350 Alum Creek Dr., Columbus, Ohio 43209-2705","www.chamberlain.edu","4-year, primarily associate's, Private for-profit","Associate's degree|Bachelor's degree","City: Large","No","677","677","NA","NA","Fall 2007","$23,264","-","454236","00638501"
"Chamberlain College of Nursing-Texas","11025 Equity Drive, Houston, Texas 77041","www.chamberlain.edu","4-year, Private for-profit","Bachelor's degree","City: Large","No","231","231","NA","NA","Fall 2007","NA","-","466930","00638508"
"Chamberlain College of Nursing-Virginia","2450 Crystal Drive, Arlington, Virginia 22202-3843","www.chamberlain.edu","4-year, Private for-profit","Bachelor's degree","City: Midsize","No","348","348","NA","NA","Fall 2007","$27,941","-","460871","00638506"
"Chaminade University of Honolulu","3140 Waialae Avenue, Honolulu, Hawaii 96816-1578","www.chaminade.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","City: Large","Yes","2912","2140","38%","NA","Fall 2007","$19,820","-","141486","00160500"
"Champlain College","246 S. Willard St, Burlington, Vermont 05401","www.champlain.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree","City: Small","Yes","3233","2793","58%","7%","Fall 2007","$32,105","-","230852","00368400"
"Chapman University","One University Dr., Orange, California 92866","www.chapman.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","7570","5681","76%","NA","Fall 2007","$32,932","-","111948","00116400"
"Charles R Drew University of Medicine and Science","1731 E 120th St, Los Angeles, California 90059","www.cdrewu.edu","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","Suburb: Large","No","485","108","NA","NA","Fall 2007","$22,741","-","111966","01036500"
"Charleston Southern University","9200 University Blvd, Charleston, South Carolina 29406-9121","www.csuniv.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Small","Yes","3130","2779","36%","NA","Fall 2007","$17,058","-","217688","00341900"
"Charter College-Anchorage","2221 E Northern Lights Blvd Ste 120, Anchorage, Alaska 99508","www.chartercollege.edu","4-year, primarily associate's, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","1259","1259","35%","NA","Fall 2007","$17,641","-","102845","02576900"
"Charter Oak State College","55 Paul Manafort Drive, New Britain, Connecticut 06053","www.charteroak.edu","4-year, Public","Less than one year certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","1644","1644","NA","NA","Fall 2007","NA","-","128780","03234300"
"Chatham University","Woodland Rd, Pittsburgh, Pennsylvania 15232","www.chatham.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice","City: Large","Yes","2178","922","50%","41%","Fall 2007","$21,602","-","211556","00324400"
"Chestnut Hill College","9601 Germantown Ave, Philadelphia, Pennsylvania 19118-2693","www.chc.edu","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice","City: Large","Yes","2301","1581","42%","41%","Fall 2007","$23,720","-","211583","00324500"
"Cheyney University of Pennsylvania","1837 University Circle, Cheyney, Pennsylvania 19319-0200","www.cheyney.edu","4-year, Public","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Suburb: Large","Yes","1284","1224","25%","NA","Fall 2007","$13,516","-","211608","00331700"
"Chicago State University","9501 S. King Drive, Chicago, Illinois 60628-1598","www.csu.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","6107","4618","21%","56%","Fall 2007","$10,203","-","144005","00169400"
"Chipola College","3094 Indian Circle, Marianna, Florida 32446-2053","www.chipola.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree","Town: Distant","Yes","2244","2244","48%","10%","Fall 2007","$4,785","-","133021","00147200"
"Chowan University","One University Place, Murfreesboro, North Carolina 27855","www.chowan.edu/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Town: Distant","Yes","1316","1308","24%","NA","Fall 2007","$18,496","-","198303","00291600"
"Christian Brothers University","650 East Parkway South, Memphis, Tennessee 38104","www.cbu.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Large","Yes","1603","1247","57%","NA","Fall 2007","$11,679","-","219833","00348200"
"Christian Life College","400 E Gregory St, Mount Prospect, Illinois 60056-2522","www.christianlifecollege.edu","4-year, primarily associate's, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree","Suburb: Large","Yes","46","46","100%","NA","Fall 2007","$18,932","-","260947","03199300"
"Christopher Newport University","1 Avenue of the Arts, Newport News, Virginia 23606-3072","www.cnu.edu","4-year, Public","Bachelor's degree|Master's degree","City: Midsize","Yes","5186","5046","66%","NA","Fall 2007","$20,328","-","231712","00370600"
"Cincinnati Christian University","2700 Glenway Ave, Cincinnati, Ohio 45204-3200","www.CCUniversity.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","City: Large","Yes","923","677","39%","NA","Fall 2007","$17,421","-","201858","00302900"
"Cincinnati College of Mortuary Science","645 W North Bend Rd, Cincinnati, Ohio 45224-1462","WWW.CCMS.EDU","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree","Suburb: Large","No","111","111","67%","NA","Fall 2007","NA","-","201867","01090600"
"Citadel Military College of South Carolina","171 Moultrie St, Charleston, South Carolina 29409","www.citadel.edu","4-year, Public","Bachelor's degree|Master's degree|Post-master's certificate","City: Midsize","Yes","3499","2629","69%","7%","Fall 2007","$16,157","-","217864","00342300"
"City College-Fort Lauderdale","2000 W. Commerical Boulevard, Fort Lauderdale, Florida 33309","www.citycollege.edu","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree","City: Midsize","No","745","745","37%","NA","Fall 2007","$24,377","-","244233","02515400"
"City College-Gainesville","7001 N.W. 4th Blvd., Gainesville, Florida 32607","www.citycollege.edu","4-year, primarily associate's, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Midsize","No","432","432","40%","NA","Fall 2007","$25,870","-","406547","02515401"
"City College-Miami","9300 S Dadeland Blvd. 2nd Floor, Miami, Florida 33156","www.citycollege.edu","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree","City: Small","No","338","338","40%","NA","Fall 2007","$21,779","-","434539","02515402"
"City University of Seattle","521 Wall Street, Suite 100, Seattle, Washington 98121","www.cityu.edu","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","City: Large","No","2297","1175","0%","NA","Fall 2007","$31,659","-","234915","01302200"
"City Vision College","3101 Troost Ave. Suite 200, Kansas City, Missouri 64109-1845","www.cityvision.edu","4-year, Private not-for-profit","One but less than two years certificate|Bachelor's degree","City: Large","No","63","63","NA","NA","Fall 2007","$9,800","-","457697","04119100"
"Claflin University","400 Magnolia Street, Orangeburg, South Carolina 29115-4498","www.claflin.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Town: Distant","Yes","1946","1883","44%","NA","Fall 2007","$15,371","-","217873","00342400"
"Claremont McKenna College","500 E 9th St, Claremont, California 91711-6400","www.claremontmckenna.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Suburb: Large","Yes","1295","1264","93%","NA","Fall 2007","$24,372","-","112260","00117000"
"Clarion University of Pennsylvania","840 Wood St, Clarion, Pennsylvania 16214","www.clarion.edu","4-year, Public","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","Town: Remote","Yes","6520","5518","53%","NA","Fall 2007","$14,588","-","211644","00331800"
"Clark Atlanta University","223 James P Brawley Drive, S.W., Atlanta, Georgia 30314-4391","www.cau.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Large","Yes","3419","2632","39%","NA","Fall 2007","$25,356","-","138947","00155900"
"Clark University","950 Main St, Worcester, Massachusetts 01610-1477","www.clarku.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Midsize","Yes","3503","2352","81%","NA","Fall 2007","$25,332","-","165334","00213900"
"Clarke University","1550 Clarke Dr, Dubuque, Iowa 52001-3198","www.clarke.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - professional practice","City: Small","Yes","1191","967","70%","NA","Fall 2007","$22,675","-","153126","00185200"
"Clarkson College","101 S 42nd St, Omaha, Nebraska 68131-2739","www.clarksoncollege.edu/","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Large","Yes","1204","813","48%","NA","Fall 2007","$17,024","-","180832","00986200"
"Clarkson University","8 Clarkson Ave, Potsdam, New York 13699","www.clarkson.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Town: Remote","Yes","3604","3072","73%","22%","Fall 2007","$25,782","-","190044","00269900"
"Clayton  State University","2000 Clayton State Boulevard, Morrow, Georgia 30260-0285","www.clayton.edu","4-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree","Suburb: Large","Yes","7140","6808","27%","25%","Fall 2007","$11,184","-","139311","00897600"
"Clear Creek Baptist Bible College","300 Clear Creek Rd, Pineville, Kentucky 40977-9752","www.ccbbc.edu/","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree","Rural: Distant","Yes","174","174","62%","8%","Fall 2007","$6,406","-","156417","02535600"
"Clearwater Christian College","3400 Gulf to Bay Blvd, Clearwater, Florida 33759-4595","www.clearwater.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","City: Midsize","Yes","498","485","54%","NA","Fall 2007","$19,497","-","133085","00147300"
"Cleary University","3601 Plymouth Rd, Ann Arbor, Michigan 48105-2659","www.cleary.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","City: Midsize","No","704","618","44%","NA","Fall 2007","$11,966","-","169327","00224600"
"Clemson University","201 Sikes Hall, Clemson, South Carolina 29634","www.clemson.edu","4-year, Public","Less than one year certificate|One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","Yes","20768","16562","83%","15%","Fall 2007","$16,817","-","217882","00342500"
"Cleveland Institute of Art","11141 East Blvd, Cleveland, Ohio 44106-1710","www.cia.edu","4-year, Private not-for-profit","Bachelor's degree","City: Large","Yes","556","556","60%","NA","Fall 2007","$30,473","-","202046","00398200"
"Cleveland Institute of Music","11021 East Blvd, Cleveland, Ohio 44106-1776","www.cim.edu","4-year, Private not-for-profit","Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree","City: Large","Yes","447","256","63%","29%","Fall 2007","$34,273","-","202073","00303100"
"Cleveland State University","2121 Euclid Avenue, Cleveland, Ohio 44115-2214","www.csuohio.edu/","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","17278","11808","32%","39%","Fall 2007","$16,255","-","202134","00303200"
"Cleveland University-Kansas City","10850 Lowell Avenue, Overland Park, Kansas 66210","www.cleveland.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - professional practice","City: Midsize","No","523","79","0%","100%","Fall 2007","NA","-","177038","02090700"
"Clinton College","1029 Crawford Rd, Rock Hill, South Carolina 29730","www.clintonjuniorcollege.edu","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree","City: Small","Yes","139","139","59%","NA","Fall 2007","$4,669","-","217891","00492300"
"Coastal Carolina University","103 Tom Trout Drive, Conway, South Carolina 29526","www.coastal.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","City: Small","Yes","9335","8746","46%","17%","Fall 2007","$14,358","-","218724","00345100"
"Coe College","1220 First Ave NE, Cedar Rapids, Iowa 52402-5092","www.coe.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Midsize","Yes","1367","1364","67%","NA","Fall 2007","$20,934","-","153144","00185400"
"Cogswell College","1175 Bordeaux  Drive, Sunnyvale, California 94089","www.cogswell.edu","4-year, Private for-profit","Bachelor's degree|Master's degree","City: Midsize","Yes","404","392","31%","19%","Fall 2007","$23,030","-","112394","00117700"
"Coker College","300 E College Ave, Hartsville, South Carolina 29550","www.coker.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Town: Distant","Yes","1163","1155","43%","43%","Fall 2007","$16,994","-","217907","00342700"
"Colby College","4000 Mayflower Hill Drive, Waterville, Maine 04901-8840","www.colby.edu","4-year, Private not-for-profit","Bachelor's degree","Town: Remote","Yes","1863","1863","93%","6%","Fall 2007","$20,806","-","161086","00203900"
"Colby-Sawyer College","541 Main St, New London, New Hampshire 03257-7835","www.colby-sawyer.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","Rural: Distant","Yes","1414","1414","54%","38%","Fall 2007","$22,701","-","182634","00257200"
"Colegio Universitario de San Juan","180 Jose Oliver St Tres Monjitas  Ind. Park, San Juan, Puerto Rico 00918","www.cunisanjuan.edu","4-year, primarily associate's, Public","Less than one year certificate|Associate's degree|Bachelor's degree","City: Large","No","1570","1570","40%","NA","Fall 2007","$2,718","-","241720","01056700"
"Coleman University","8888 Balboa Ave, San Diego, California 92123-1506","www.coleman.edu","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","City: Large","No","795","667","51%","NA","Fall 2007","$20,576","-","112446","00729600"
"Colgate University","13 Oak Dr, Hamilton, New York 13346-1398","www.colgate.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Town: Distant","Yes","2886","2871","91%","5%","Fall 2007","$22,038","-","190099","00270100"
"College America-Cheyenne","6101 Yellowstone Rd Ste 101, Cheyenne, Wyoming 82009","www.collegeamerica.edu","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree","City: Small","No","75","75","48%","9%","Fall 2007","$24,898","-","451705","02594303"
"College America-Colorado Springs","3645 Citadel Drive South, Colorado Springs, Colorado 80909","www.collegeamerica.edu/","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree","City: Large","No","436","436","46%","11%","Fall 2007","$22,840","-","448752","02594302"
"College America-Denver","1385 S Colorado Blvd., 5th Floor, Denver, Colorado 80222","www.collegeamerica.edu","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree","City: Large","No","581","581","34%","13%","Fall 2007","$15,777","-","126872","02594300"
"College America-Flagstaff","3012 East Route 66, Flagstaff, Arizona 86004","www.collegeamerica.edu","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree","City: Small","No","255","255","47%","NA","Fall 2007","$20,537","-","103945","03120300"
"College America-Fort Collins","4601 South Mason St, Fort Collins, Colorado 80525","www.collegeamerica.edu","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree","City: Midsize","No","234","234","27%","NA","Fall 2007","$20,232","-","448761","02594301"
"College America-Phoenix","9801 N. Metro Parkway East, Phoenix, Arizona 85051","www.collegeamerica.edu","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree","City: Large","No","382","382","44%","4%","Fall 2007","$23,659","-","474890","03120301"
"College for Creative Studies","201 E Kirby, Detroit, Michigan 48202","www.collegeforcreativestudies.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree","City: Large","Yes","1411","1356","56%","NA","Fall 2007","$34,182","-","169442","00677100"
"College of Biblical Studies-Houston","7000 Regency Square Blvd., Houston, Texas 77036-3211","www.cbshouston.edu","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","489","489","57%","NA","Fall 2007","$20,983","-","388520","03422400"
"College of Business and Technology-Kendall","8765 SW 165 Ave, Suite 114, Miami, Florida 33193","www.cbt.edu","4-year, primarily associate's, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","48","48","73%","NA","Fall 2007","$16,283","-","417318","03071600"
"College of Business and Technology-Miami Gardens","5190 NW 167 Street, Miami Gardens, Florida 33014-6338","www.cbt.edu","4-year, primarily associate's, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","","No","","","NA","NA","Fall 2007","NA","-","482024","03071605"
"College of Central Florida","3001 SW College Rd, Ocala, Florida 34474","www.cf.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree","City: Small","No","8449","8449","44%","13%","Fall 2007","$9,895","-","132851","00147100"
"College of Charleston","66 George St, Charleston, South Carolina 29424-0001","www.cofc.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","City: Midsize","Yes","11723","10506","64%","27%","Fall 2007","$16,628","-","217819","00342800"
"College of Coastal Georgia","One College Drive, Brunswick, Georgia 31520-3644","www.ccga.edu","4-year, primarily associate's, Public","Associate's degree|Bachelor's degree","City: Small","Yes","3156","3156","17%","17%","Fall 2007","$10,585","-","139250","00155800"
"College of Menominee Nation","N172 State Highway 47&55, Keshena, Wisconsin 54135-1179","www.menominee.edu","4-year, primarily associate's, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","Rural: Distant","No","721","721","11%","21%","Fall 2007","$5,252","-","413617","03125100"
"College of Mount Saint Vincent","6301 Riverdale Ave, Bronx, New York 10471-1093","www.mountsaintvincent.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate","City: Large","Yes","1951","1717","52%","NA","Fall 2007","$19,873","-","193399","00270300"
"College of Mount St Joseph","5701 Delhi Rd, Cincinnati, Ohio 45233-1670","www.msj.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree","Suburb: Large","Yes","2294","1840","58%","NA","Fall 2007","$17,144","-","204200","00303300"
"College of Our Lady of the Elms","291 Springfield St, Chicopee, Massachusetts 01013","www.elms.edu","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","Suburb: Large","Yes","1576","1268","68%","NA","Fall 2007","$20,838","-","167394","00214000"
"College of Saint Benedict","37 S. College Ave., Saint Joseph, Minnesota 56374","www.csbsju.edu","4-year, Private not-for-profit","Bachelor's degree","Suburb: Midsize","Yes","2070","2070","82%","NA","Fall 2007","$25,527","-","174747","00234100"
"College of Saint Elizabeth","2 Convent Rd, Morristown, New Jersey 07960-6989","www.cse.edu","4-year, Private not-for-profit","One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","Yes","1687","1079","56%","NA","Fall 2007","$18,227","-","186618","00260000"
"College of Saint Mary","7000 Mercy Rd., Omaha, Nebraska 68106","WWW.CSM.EDU","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","City: Large","Yes","1037","782","42%","46%","Fall 2007","$18,388","-","181604","00254000"
"College of Southern Nevada","6375 W. Charleston Blvd., Las Vegas, Nevada 89146-1164","www.csn.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","35678","35678","9%","20%","Fall 2007","$7,428","-","182005","01036200"
"College of St Joseph","71 Clement Road, Rutland, Vermont 05701-3899","www.csj.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Town: Remote","Yes","314","179","21%","71%","Fall 2007","$17,393","-","231077","00368500"
"College of Staten Island CUNY","2800 Victory Blvd, Staten Island, New York 10314","www.csi.cuny.edu","4-year, Public","Less than one year certificate|Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate","City: Large","Yes","14321","13364","29%","32%","Fall 2007","$7,117","-","190558","00269800"
"College of the Atlantic","105 Eden Street, Bar Harbor, Maine 04609","www.coa.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Town: Remote","Yes","340","330","69%","NA","Fall 2007","$21,970","-","160959","01138500"
"","* Cohort Year represents the year for which students began their studies and applies to Graduation and Transfer Out Rates.","","","","","","","","","","","","","",""
"","** Net Price is Average Net Price for 2012-2013 generated for full-time beginning undergraduate students who were awarded grant or scholarship aid from federal, state or local governments, or the institution. For public institutions only students paying the in-state or in-district rate are included.  For institutions that charge students by program, net price is generated for the institution’s largest program.","","","","","","","","","","","","","",""
"","NA (Not applicable) - Graduation rate, transfer-out rate and the net price are not applicable to institutions that do not have full-time, first-time degree-seeking undergraduate students in the applicable cohort year or the financial aid year.","","","","","","","","","","","","","",""
