"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Argosy University-Nashville","100 Centerview Dr, Suite 225, Nashville, Tennessee 37214","www.argosy.edu/nashville/","4-year, Private for-profit","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Large","No","552","171","NA","NA","Fall 2007","$19,025","-","450535","02179914"
"Argosy University-Orange County","601 South Lewis Street, Orange, California 92868","www.argosy.edu/orangecounty","4-year, Private for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","No","742","238","NA","NA","Fall 2007","$21,560","-","436438","02179900"
"Argosy University-Phoenix","2233 West Dunlap Avenue, Phoenix, Arizona 85021","www.argosy.edu/phoenix/","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","No","752","191","NA","NA","Fall 2007","$18,626","-","436094","02179907"
"Argosy University-Phoenix Online Division","2233 West Dunlap Avenue, Phoenix, Arizona 85021","www.argosy.edu/phoenix","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Large","No","10715","7900","24%","3%","Fall 2007","$31,688","-","456348","02179907"
"Argosy University-Salt Lake City","121 Election Rd Ste 300, Draper, Utah 84020","www.argosy.edu/locations/salt-lake-city/default.aspx","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","Suburb: Large","No","304","131","NA","NA","Fall 2007","$19,288","-","452090","02179935"
"Argosy University-San Diego","1615 Murray Canyon Road, Suite 100, San Diego, California 92108","www.argosy.edu/sandiego","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Large","No","437","215","NA","NA","Fall 2007","$23,716","-","450544","02179929"
"Argosy University-San Francisco Bay Area","1005 Atlantic Avenue, Alameda, California 94501","www.argosy.edu/sanfrancisco","4-year, Private for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","No","652","146","NA","NA","Fall 2007","$23,227","-","121983","02179908"
"Argosy University-Sarasota","5250 17th Street, Sarasota, Florida 34235","www.argosy.edu/sarasota/","4-year, Private for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","No","1041","129","NA","NA","Fall 2007","NA","-","137148","02179918"
"Argosy University-Schaumburg","999 North Plaza Dr., Suite 111, Schaumburg, Illinois 60173-5403","www.argosy.edu/schaumburg","4-year, Private for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Small","No","568","147","NA","NA","Fall 2007","$16,660","-","420866","02179921"
"Argosy University-Seattle","2601-A Elliott Avenue, Seattle, Washington 98121","www.argosy.edu/seattle","4-year, Private for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","No","396","103","NA","NA","Fall 2007","$21,662","-","439057","02179913"
"Argosy University-Tampa","1403 N. Howard Avenue, Tampa, Florida 33607","www.argosy.edu/tampa","4-year, Private for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","No","506","83","NA","NA","Fall 2007","$21,569","-","428268","02179909"
"Argosy University-Twin Cities","1515 Central Parkway, Eagan, Minnesota 55121","www.argosy.edu/twincities/","4-year, primarily associate's, Private for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Small","No","1808","1196","23%","NA","Fall 2007","$18,249","-","173984","02179901"
"Argosy University-Washington DC","1550 Wilson Boulevard, Suite 600, Arlington, Virginia 22209","www.argosy.edu/washingtondc","4-year, Private for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","No","1018","91","50%","NA","Fall 2007","$17,855","-","419457","02179903"
"Arizona Christian University","2625 E Cactus Rd, Phoenix, Arizona 85032-7097","www.arizonachristian.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","City: Large","Yes","683","683","47%","NA","Fall 2007","$22,670","-","105899","00711300"
"Arizona College-Mesa","163 N Dobson Rd, Mesa, Arizona 85201","www.arizonacollege.edu","4-year, primarily associate's, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","","No","","","NA","NA","Fall 2007","NA","-","482990","03115001"
"Arizona State University-Downtown Phoenix","411 N Central Avenue - Ste 520, Phoenix, Arizona 85004","www.asu.edu/","4-year, Public","Less than one year certificate|One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","","Yes","","","47%","NA","Fall 2007","$13,061","-","448886","00108103"
"Arizona State University-Polytechnic","7001 E Williams Field Road, Mesa, Arizona 85212","www.asu.edu/","4-year, Public","Less than one year certificate|One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","","Yes","","","55%","NA","Fall 2007","$12,611","-","420574","00108102"
"Arizona State University-Skysong","1475 N Scottsdale Road - Ste 315, Scottsdale, Arizona 85257","www.asu.edu/","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","","Yes","","","NA","NA","Fall 2007","$11,941","-","483124","00108159"
"Arizona State University-Tempe","University Drive and Mill Avenue, Tempe, Arizona 85287","www.asu.edu/","4-year, Public","Less than one year certificate|One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","73378","59382","59%","NA","Fall 2007","$12,380","-","104151","00108100"
"Arizona State University-West","4701 W Thunderbird Road, Glendale, Arizona 85306","www.asu.edu/","4-year, Public","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","","Yes","","","55%","NA","Fall 2007","$10,072","-","407009","00108101"
"Arkansas Baptist College","1621 Dr. Martin Luther King Drive, Little Rock, Arkansas 72202-6068","www.arkansasbaptist.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","City: Midsize","Yes","1082","1082","16%","22%","Fall 2007","$17,011","-","106306","00108700"
"Arkansas State University-Main Campus","2105 E. Aggie Road, Jonesboro, Arkansas 72401","www2.astate.edu","4-year, Public","One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Small","Yes","13877","10168","37%","31%","Fall 2007","$8,984","-","106458","00109000"
"Arkansas Tech University","Administration Bldg 200; 1509 N Boulder Ave, Russellville, Arkansas 72801-2222","www.atu.edu","4-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate","Town: Remote","Yes","10950","10089","40%","29%","Fall 2007","$8,137","-","106467","00108900"
"Arlington Baptist College","3001 W Division, Arlington, Texas 76012-3425","arlingtonbaptistcollege.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Large","Yes","265","237","33%","NA","Fall 2007","$12,343","-","222877","02081400"
"Armstrong Atlantic State University","11935 Abercorn St, Savannah, Georgia 31419-1997","www.armstrong.edu","4-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice","City: Midsize","Yes","7439","6731","34%","19%","Fall 2007","$14,082","-","138789","00154600"
